Team,Diff,Home Victory,Opposition,Ground,Match Date,year,opponnents,home_standing,away_standing,temp,pressure,wind
Wales,8,Home,v Italy,Millennium Stadium,01/02/2014,2014,Italy,80.19,73.13,3,1019,14
France,2,Home,v England,Stade de France,01/02/2014,2014,England,80.87,85.7,0,1017,5
France,-5,Away,v Wales,Stade de France,01/02/2019,2019,Wales,77.34,87.26,0,1017,5
Ireland,7,Home,v Scotland,Lansdowne Road,01/02/2020,2020,Scotland,84.24,81.21,0,1020,29
Wales,42,Home,v Italy,Millennium Stadium,01/02/2020,2020,Italy,79.77,70.88,3,1019,14
Ireland,10,Home,v England,Lansdowne Road,01/03/2015,2015,England,82.13,85.68,0,1020,29
Scotland,12,Home,v Wales,Murrayfield,10/02/2007,2007,Wales,76.73,76.87,4,1017,7
England,13,Home,v Italy,Twickenham,10/02/2007,2007,Italy,78.61,72.79,2,1017,11
Italy,-4,Away,v England,Rome,10/02/2008,2008,England,73.29,85.57,8,1004,17
Ireland,-6,Away,v England,Lansdowne Road,10/02/2013,2013,England,80.22,83.9,0,1020,29
Ireland,37,Home,v Italy,Lansdowne Road,10/02/2018,2018,Italy,86.4,71.27,0,1020,29
England,6,Home,v Wales,Twickenham,10/02/2018,2018,Wales,90.88,82.09,2,1017,11
England,36,Home,v France,Twickenham,10/02/2019,2019,France,86.23,77.34,2,1017,11
Scotland,-1,Away,v Ireland,Murrayfield,10/03/2007,2007,Ireland,76.73,84.67,4,1017,7
Italy,3,Home,v Wales,Rome,10/03/2007,2007,Wales,72.79,76.87,8,1004,17
Ireland,18,Home,v Scotland,Lansdowne Road,10/03/2012,2012,Scotland,80.65,76.2,0,1020,29
Wales,21,Home,v Italy,Millennium Stadium,10/03/2012,2012,Italy,79.61,73.99,3,1019,14
England,7,Home,v Italy,Twickenham,10/03/2013,2013,Italy,83.9,76.24,2,1017,11
Wales,13,Home,v Ireland,Millennium Stadium,10/03/2017,2017,Ireland,82.56,84.63,3,1019,14
Ireland,20,Home,v Scotland,Lansdowne Road,10/03/2018,2018,Scotland,86.4,84.13,0,1020,29
France,6,Home,v England,Stade de France,10/03/2018,2018,England,78.11,90.88,0,1017,5
Ireland,12,Home,v France,Lansdowne Road,10/03/2019,2019,France,91.18,77.34,0,1020,29
Italy,-15,Away,v England,Rome,11/02/2006,2006,England,72.18,83.27,8,1004,17
France,12,Home,v Ireland,Stade de France,11/02/2006,2006,Ireland,86.1,80.03,0,1017,5
Ireland,-3,Away,v France,Croke Park,11/02/2007,2007,France,84.67,85.87,0,1020,29
Italy,-4,Away,v England,Rome,11/02/2012,2012,England,73.99,81.58,8,1004,17
Wales,-5,Away,v England,Millennium Stadium,11/02/2017,2017,England,82.56,90.47,3,1019,14
Italy,-53,Away,v Ireland,Rome,11/02/2017,2017,Ireland,72.5,84.63,8,1004,17
Scotland,6,Home,v France,Murrayfield,11/02/2018,2018,France,84.13,78.11,4,1017,7
Ireland,6,Home,v Scotland,Lansdowne Road,11/03/2006,2006,Scotland,80.03,73.52,0,1020,29
Wales,0,Draw,v Italy,Millennium Stadium,11/03/2006,2006,Italy,82.54,72.18,3,1019,14
England,8,Home,v France,Twickenham,11/03/2007,2007,France,78.61,85.87,2,1017,11
France,-2,Away,v England,Stade de France,11/03/2012,2012,England,84.7,81.58,0,1017,5
Italy,-22,Away,v France,Rome,11/03/2017,2017,France,72.5,80.14,8,1004,17
England,40,Home,v Scotland,Twickenham,11/03/2017,2017,Scotland,90.47,80.71,2,1017,11
Wales,24,Home,v Italy,Millennium Stadium,11/03/2018,2018,Italy,82.09,71.27,3,1019,14
Scotland,-27,Away,v Ireland,Murrayfield,12/02/2005,2005,Ireland,74.65,82.61,4,1017,7
Italy,-30,Away,v Wales,Rome,12/02/2005,2005,Wales,72.51,76.91,8,1004,17
Wales,10,Home,v Scotland,Millennium Stadium,12/02/2006,2006,Scotland,82.54,73.52,3,1019,14
Scotland,-18,Away,v Wales,Murrayfield,12/02/2011,2011,Wales,81.2,77.04,4,1017,7
England,46,Home,v Italy,Twickenham,12/02/2011,2011,Italy,82.48,73.31,2,1017,11
Wales,14,Home,v Scotland,Millennium Stadium,12/02/2012,2012,Scotland,79.61,76.2,3,1019,14
France,6,Home,v Scotland,Stade de France,12/02/2017,2017,Scotland,80.14,80.71,0,1017,5
Ireland,-7,Away,v France,Lansdowne Road,12/03/2005,2005,France,82.61,83.7,0,1020,29
England,32,Home,v Italy,Twickenham,12/03/2005,2005,Italy,86.59,72.51,2,1017,11
France,25,Home,v England,Stade de France,12/03/2006,2006,England,86.1,83.27,0,1017,5
Wales,6,Home,v Ireland,Millennium Stadium,12/03/2011,2011,Ireland,77.04,81.79,3,1019,14
Italy,1,Home,v France,Rome,12/03/2011,2011,France,73.31,81.66,8,1004,17
Ireland,43,Home,v Italy,Lansdowne Road,12/03/2016,2016,Italy,81.17,72.79,0,1020,29
England,4,Home,v Wales,Twickenham,12/03/2016,2016,Wales,79.76,83.49,2,1017,11
England,-1,Away,v France,Twickenham,13/02/2005,2005,France,86.59,83.7,2,1017,11
Wales,7,Home,v Scotland,Millennium Stadium,13/02/2010,2010,Scotland,79.89,76.59,3,1019,14
France,23,Home,v Ireland,Stade de France,13/02/2010,2010,Ireland,82.41,84.6,0,1017,5
Ireland,-3,Away,v France,Lansdowne Road,13/02/2011,2011,France,81.79,81.66,0,1020,29
Wales,4,Home,v Scotland,Millennium Stadium,13/02/2016,2016,Scotland,83.49,78.01,3,1019,14
France,1,Home,v Ireland,Stade de France,13/02/2016,2016,Ireland,79.77,81.17,0,1017,5
Scotland,-24,Away,v Wales,Murrayfield,13/03/2005,2005,Wales,74.65,76.91,4,1017,7
Ireland,15,Home,v Wales,Croke Park,13/03/2010,2010,Wales,84.6,79.89,0,1020,29
Scotland,0,Draw,v England,Murrayfield,13/03/2010,2010,England,76.59,80.72,4,1017,7
England,6,Home,v Scotland,Twickenham,13/03/2011,2011,Scotland,82.48,81.2,2,1017,11
Scotland,11,Home,v France,Murrayfield,13/03/2016,2016,France,78.01,79.77,4,1017,7
Wales,13,Home,v Scotland,Millennium Stadium,14/02/2004,2004,Scotland,76.92,76.36,3,1019,14
France,18,Home,v Ireland,Stade de France,14/02/2004,2004,Ireland,82.71,80.53,0,1017,5
Wales,8,Home,v England,Millennium Stadium,14/02/2009,2009,England,81.03,80.87,3,1019,14
France,9,Home,v Scotland,Stade de France,14/02/2009,2009,Scotland,79.51,76.75,0,1017,5
Italy,-5,Away,v England,Rome,14/02/2010,2010,England,72.59,80.72,8,1004,17
Ireland,7,Home,v France,Lansdowne Road,14/02/2015,2015,France,82.13,80.07,0,1020,29
England,30,Home,v Italy,Twickenham,14/02/2015,2015,Italy,85.68,72.05,2,1017,11
Italy,-31,Away,v England,Rome,14/02/2016,2016,England,72.79,79.76,8,1004,17
Scotland,-7,Away,v Ireland,Murrayfield,14/03/2009,2009,Ireland,76.75,78.51,4,1017,7
Italy,-5,Away,v Wales,Rome,14/03/2009,2009,Wales,74.56,81.03,8,1004,17
France,26,Home,v Italy,Stade de France,14/03/2010,2010,Italy,82.41,72.59,0,1017,5
Wales,7,Home,v Ireland,Millennium Stadium,14/03/2015,2015,Ireland,80.7,82.13,3,1019,14
England,12,Home,v Scotland,Twickenham,14/03/2015,2015,Scotland,85.68,75.16,2,1017,11
Italy,-41,Away,v England,Rome,15/02/2004,2004,England,71.88,93.99,8,1004,17
Italy,-29,Away,v Ireland,Rome,15/02/2009,2009,Ireland,74.56,78.51,8,1004,17
Scotland,-3,Away,v Wales,Murrayfield,15/02/2015,2015,Wales,75.16,80.7,4,1017,7
Wales,17,Home,v France,Millennium Stadium,15/03/2008,2008,France,74.17,80.36,3,1019,14
Italy,3,Home,v Scotland,Rome,15/03/2008,2008,Scotland,73.29,76.7,8,1004,17
England,23,Home,v Ireland,Twickenham,15/03/2008,2008,Ireland,85.57,78.67,2,1017,11
England,24,Home,v France,Twickenham,15/03/2009,2009,France,80.87,79.51,2,1017,11
Wales,48,Home,v Scotland,Millennium Stadium,15/03/2014,2014,Scotland,80.19,76.56,3,1019,14
Italy,-41,Away,v England,Rome,15/03/2014,2014,England,73.13,85.7,8,1004,17
France,-2,Home,v Ireland,Stade de France,15/03/2014,2014,Ireland,80.87,79.33,0,1017,5
Italy,-29,Away,v France,Rome,15/03/2015,2015,France,72.05,80.07,8,1004,17
Wales,27,Home,v England,Millennium Stadium,16/03/2013,2013,England,78.39,83.9,3,1019,14
Italy,7,Home,v Ireland,Rome,16/03/2013,2013,Ireland,76.24,80.22,8,1004,17
France,7,Home,v Scotland,Stade de France,16/03/2013,2013,Scotland,85.07,75.83,0,1017,5
Wales,18,Home,v Ireland,Millennium Stadium,16/03/2019,2019,Ireland,87.26,91.18,3,1019,14
Italy,-11,Away,v France,Rome,16/03/2019,2019,France,72.76,77.34,8,1004,17
England,0,Draw,v Scotland,Twickenham,16/03/2019,2019,Scotland,86.23,81.86,2,1017,11
Wales,9,Home,v England,Millennium Stadium,17/03/2007,2007,England,76.87,78.61,3,1019,14
Italy,-27,Away,v Ireland,Rome,17/03/2007,2007,Ireland,72.79,84.67,8,1004,17
France,27,Home,v Scotland,Stade de France,17/03/2007,2007,Scotland,85.87,76.73,0,1017,5
Wales,7,Home,v France,Millennium Stadium,17/03/2012,2012,France,79.61,84.7,3,1019,14
Italy,7,Home,v Scotland,Rome,17/03/2012,2012,Scotland,73.99,76.2,8,1004,17
England,21,Home,v Ireland,Twickenham,17/03/2012,2012,Ireland,81.58,80.65,2,1017,11
Wales,1,Home,v France,Millennium Stadium,17/03/2018,2018,France,82.09,78.11,3,1019,14
Italy,-2,Away,v Scotland,Rome,17/03/2018,2018,Scotland,71.27,84.13,8,1004,17
England,-9,Away,v Ireland,Twickenham,17/03/2018,2018,Ireland,90.88,86.4,2,1017,11
Wales,-5,Away,v France,Millennium Stadium,18/03/2006,2006,France,82.54,86.1,3,1019,14
Italy,-3,Away,v Scotland,Rome,18/03/2006,2006,Scotland,72.18,73.52,8,1004,17
England,-4,Away,v Ireland,Twickenham,18/03/2006,2006,Ireland,83.27,80.03,2,1017,11
Ireland,4,Home,v England,Lansdowne Road,18/03/2017,2017,England,84.63,90.47,0,1020,29
Scotland,29,Home,v Italy,Murrayfield,18/03/2017,2017,Italy,80.71,72.5,4,1017,7
France,2,Home,v Wales,Stade de France,18/03/2017,2017,Wales,80.14,82.56,0,1017,5
Wales,12,Home,v Ireland,Millennium Stadium,19/03/2005,2005,Ireland,76.91,82.61,3,1019,14
Italy,-43,Away,v France,Rome,19/03/2005,2005,France,72.51,83.7,8,1004,17
England,21,Home,v Scotland,Twickenham,19/03/2005,2005,Scotland,86.59,74.65,2,1017,11
Ireland,16,Home,v England,Lansdowne Road,19/03/2011,2011,England,81.79,82.48,0,1020,29
Scotland,13,Home,v Italy,Murrayfield,19/03/2011,2011,Italy,81.2,73.31,4,1017,7
France,19,Home,v Wales,Stade de France,19/03/2011,2011,Wales,81.66,77.04,0,1017,5
Ireland,10,Home,v Scotland,Lansdowne Road,19/03/2016,2016,Scotland,81.17,78.01,0,1020,29
Wales,53,Home,v Italy,Millennium Stadium,19/03/2016,2016,Italy,83.49,72.79,3,1019,14
France,-10,Away,v England,Stade de France,19/03/2016,2016,England,79.77,79.76,0,1017,5
Ireland,5,Home,v Italy,Croke Park,02/02/2008,2008,Italy,78.67,73.29,0,1020,29
England,-7,Away,v Wales,Twickenham,02/02/2008,2008,Wales,85.57,74.17,2,1017,11
Wales,-8,Away,v Ireland,Millennium Stadium,02/02/2013,2013,Ireland,78.39,80.22,3,1019,14
England,20,Home,v Scotland,Twickenham,02/02/2013,2013,Scotland,83.9,75.83,2,1017,11
Ireland,22,Home,v Scotland,Lansdowne Road,02/02/2014,2014,Scotland,79.33,76.56,0,1020,29
Ireland,-12,Away,v England,Lansdowne Road,02/02/2019,2019,England,91.18,86.23,0,1020,29
Scotland,13,Home,v Italy,Murrayfield,02/02/2019,2019,Italy,81.86,72.76,4,1017,7
France,7,Home,v England,Stade de France,02/02/2020,2020,England,85.66,88.73,0,1017,5
Ireland,16,Home,v Italy,Lansdowne Road,20/03/2004,2004,Italy,80.53,71.88,0,1020,29
England,10,Home,v Wales,Twickenham,20/03/2004,2004,Wales,93.99,76.92,2,1017,11
Ireland,-3,Away,v Scotland,Croke Park,20/03/2010,2010,Scotland,84.6,76.59,0,1020,29
Wales,23,Home,v Italy,Millennium Stadium,20/03/2010,2010,Italy,79.89,72.59,3,1019,14
France,2,Home,v England,Stade de France,20/03/2010,2010,England,82.41,80.72,0,1017,5
Scotland,-22,Away,v England,Murrayfield,21/02/2004,2004,England,76.36,93.99,4,1017,7
France,25,Home,v Italy,Stade de France,21/02/2004,2004,Italy,82.71,71.88,0,1017,5
Wales,21,Home,v France,Millennium Stadium,21/02/2014,2014,France,80.19,80.87,3,1019,14
Scotland,-31,Away,v France,Murrayfield,21/03/2004,2004,France,76.36,82.71,4,1017,7
Wales,-2,Away,v Ireland,Millennium Stadium,21/03/2009,2009,Ireland,81.03,78.51,3,1019,14
Italy,-42,Away,v France,Rome,21/03/2009,2009,France,74.56,79.51,8,1004,17
England,14,Home,v Scotland,Twickenham,21/03/2009,2009,Scotland,80.87,76.75,2,1017,11
Scotland,-30,Away,v Ireland,Murrayfield,21/03/2015,2015,Ireland,75.16,82.13,4,1017,7
Italy,-41,Away,v Wales,Rome,21/03/2015,2015,Wales,72.05,80.7,8,1004,17
England,20,Home,v France,Twickenham,21/03/2015,2015,France,85.68,80.07,2,1017,11
Ireland,21,Home,v Wales,Lansdowne Road,22/02/2004,2004,Wales,80.53,76.92,0,1020,29
Italy,-1,Away,v Scotland,Rome,22/02/2014,2014,Scotland,73.13,76.56,8,1004,17
England,3,Home,v Ireland,Twickenham,22/02/2014,2014,Ireland,85.7,79.33,2,1017,11
Wales,-4,Away,v France,Millennium Stadium,22/02/2020,2020,France,79.77,85.66,3,1019,14
Italy,-17,Away,v Scotland,Rome,22/02/2020,2020,Scotland,70.88,81.21,8,1004,17
Ireland,21,Home,v Scotland,Croke Park,23/02/2008,2008,Scotland,78.67,76.7,0,1020,29
Wales,39,Home,v Italy,Millennium Stadium,23/02/2008,2008,Italy,74.17,73.29,3,1019,14
France,-11,Away,v England,Stade de France,23/02/2008,2008,England,80.36,85.57,0,1017,5
Italy,-17,Away,v Wales,Rome,23/02/2013,2013,Wales,76.24,78.39,8,1004,17
England,10,Home,v France,Twickenham,23/02/2013,2013,France,83.9,85.07,2,1017,11
France,17,Home,v Italy,Marseille,23/02/2018,2018,Italy,78.11,71.27,0,1017,5
Wales,8,Home,v England,Millennium Stadium,23/02/2019,2019,England,87.26,86.23,3,1019,14
France,17,Home,v Scotland,Stade de France,23/02/2019,2019,Scotland,77.34,81.86,0,1017,5
England,12,Home,v Ireland,Twickenham,23/02/2020,2020,Ireland,88.73,84.24,2,1017,11
Ireland,30,Home,v England,Croke Park,24/02/2007,2007,England,84.67,78.61,0,1020,29
Scotland,-20,Away,v Italy,Murrayfield,24/02/2007,2007,Italy,76.73,72.79,4,1017,7
France,11,Home,v Wales,Stade de France,24/02/2007,2007,Wales,85.87,76.87,0,1017,5
Scotland,4,Home,v Ireland,Murrayfield,24/02/2013,2013,Ireland,75.83,80.22,4,1017,7
Ireland,10,Home,v Wales,Lansdowne Road,24/02/2018,2018,Wales,86.4,82.09,0,1020,29
Scotland,12,Home,v England,Murrayfield,24/02/2018,2018,England,84.13,90.88,4,1017,7
Italy,-10,Away,v Ireland,Rome,24/02/2019,2019,Ireland,72.76,91.18,8,1004,17
Ireland,33,Home,v Italy,Lansdowne Road,24/10/2020,2020,Italy,84.24,70.88,0,1020,29
Scotland,6,Home,v England,Murrayfield,25/02/2006,2006,England,73.52,83.27,4,1017,7
France,25,Home,v Italy,Stade de France,25/02/2006,2006,Italy,86.1,72.18,0,1017,5
Ireland,32,Home,v Italy,Lansdowne Road,25/02/2012,2012,Italy,80.65,73.99,0,1020,29
England,-7,Away,v Wales,Twickenham,25/02/2012,2012,Wales,81.58,79.61,2,1017,11
Ireland,10,Home,v France,Lansdowne Road,25/02/2017,2017,France,84.63,80.14,0,1020,29
Scotland,16,Home,v Wales,Murrayfield,25/02/2017,2017,Wales,80.71,82.56,4,1017,7
Scotland,8,Home,v Italy,Murrayfield,26/02/2005,2005,Italy,74.65,72.51,4,1017,7
France,-6,Away,v Wales,Stade de France,26/02/2005,2005,Wales,83.7,76.91,0,1017,5
Ireland,26,Home,v Wales,Lansdowne Road,26/02/2006,2006,Wales,80.03,82.54,0,1020,29
Wales,-6,Away,v France,Millennium Stadium,26/02/2010,2010,France,79.89,82.41,3,1019,14
Italy,-8,Away,v Wales,Rome,26/02/2011,2011,Wales,73.31,77.04,8,1004,17
England,8,Home,v France,Twickenham,26/02/2011,2011,France,82.48,81.66,2,1017,11
Scotland,-6,Away,v France,Murrayfield,26/02/2012,2012,France,76.2,84.7,4,1017,7
Wales,9,Home,v France,Millennium Stadium,26/02/2016,2016,France,83.49,79.77,3,1019,14
England,21,Home,v Italy,Twickenham,26/02/2017,2017,Italy,90.47,72.5,2,1017,11
Ireland,6,Home,v England,Lansdowne Road,27/02/2005,2005,England,82.61,86.59,0,1020,29
France,5,Home,v Wales,Stade de France,27/02/2009,2009,Wales,79.51,81.03,0,1017,5
Italy,4,Home,v Scotland,Rome,27/02/2010,2010,Scotland,72.59,76.59,8,1004,17
England,-4,Away,v Ireland,Twickenham,27/02/2010,2010,Ireland,80.72,84.6,2,1017,11
Scotland,-3,Away,v Ireland,Murrayfield,27/02/2011,2011,Ireland,81.2,81.79,4,1017,7
Italy,-16,Away,v Scotland,Rome,27/02/2016,2016,Scotland,72.79,78.01,8,1004,17
England,11,Home,v Ireland,Twickenham,27/02/2016,2016,Ireland,79.76,81.17,2,1017,11
Ireland,21,Home,v Scotland,Lansdowne Road,27/03/2004,2004,Scotland,80.53,76.36,0,1020,29
Wales,34,Home,v Italy,Millennium Stadium,27/03/2004,2004,Italy,76.92,71.88,3,1019,14
France,3,Home,v England,Stade de France,27/03/2004,2004,England,82.71,93.99,0,1017,5
Ireland,1,Home,v England,Croke Park,28/02/2009,2009,England,78.51,80.87,0,1020,29
Scotland,20,Home,v Italy,Murrayfield,28/02/2009,2009,Italy,76.75,74.56,4,1017,7
Scotland,-3,Away,v Italy,Murrayfield,28/02/2015,2015,Italy,75.16,72.05,4,1017,7
France,-7,Away,v Wales,Stade de France,28/02/2015,2015,Wales,80.07,80.7,0,1017,5
Italy,-36,Away,v France,Rome,03/02/2007,2007,France,72.79,85.87,8,1004,17
England,22,Home,v Scotland,Twickenham,03/02/2007,2007,Scotland,78.61,76.73,2,1017,11
Scotland,-21,Away,v France,Murrayfield,03/02/2008,2008,France,76.7,80.36,4,1017,7
Italy,5,Home,v France,Rome,03/02/2013,2013,France,76.24,85.07,8,1004,17
Wales,27,Home,v Scotland,Millennium Stadium,03/02/2018,2018,Scotland,82.09,84.13,3,1019,14
France,-2,Away,v Ireland,Stade de France,03/02/2018,2018,Ireland,78.11,86.4,0,1017,5
Wales,-4,Away,v Scotland,Llanelli,31/10/2020,2020,Scotland,79.77,81.21,3,1019,14
Italy,-29,Away,v England,Rome,31/10/2020,2020,England,70.88,88.73,8,1004,17
France,8,Home,v Ireland,Stade de France,31/10/2020,2020,Ireland,85.66,84.24,0,1017,5
Ireland,10,Home,v Italy,Lansdowne Road,04/02/2006,2006,Italy,80.03,72.18,0,1020,29
England,34,Home,v Wales,Twickenham,04/02/2006,2006,Wales,83.27,82.54,2,1017,11
Wales,-10,Away,v Ireland,Millennium Stadium,04/02/2007,2007,Ireland,76.87,84.67,3,1019,14
Wales,-7,Away,v England,Millennium Stadium,04/02/2011,2011,England,77.04,82.48,3,1019,14
Scotland,-7,Away,v England,Murrayfield,04/02/2012,2012,England,76.2,81.58,4,1017,7
France,18,Home,v Italy,Stade de France,04/02/2012,2012,Italy,84.7,73.99,0,1017,5
Scotland,5,Home,v Ireland,Murrayfield,04/02/2017,2017,Ireland,80.71,84.63,4,1017,7
England,3,Home,v France,Twickenham,04/02/2017,2017,France,90.47,80.14,2,1017,11
Italy,-31,Away,v England,Rome,04/02/2018,2018,England,71.27,90.88,8,1004,17
France,0,Draw,v Ireland,Stade de France,04/03/2012,2012,Ireland,84.7,80.65,0,1017,5
Wales,2,Home,v England,Millennium Stadium,05/02/2005,2005,England,76.91,86.59,3,1019,14
France,7,Home,v Scotland,Stade de France,05/02/2005,2005,Scotland,83.7,74.65,0,1017,5
Scotland,4,Home,v France,Murrayfield,05/02/2006,2006,France,73.52,86.1,4,1017,7
Italy,-2,Away,v Ireland,Rome,05/02/2011,2011,Ireland,73.31,81.79,8,1004,17
France,13,Home,v Scotland,Stade de France,05/02/2011,2011,Scotland,81.66,81.2,0,1017,5
Ireland,-2,Away,v Wales,Lansdowne Road,05/02/2012,2012,Wales,80.65,79.61,0,1020,29
Italy,-26,Away,v Wales,Rome,05/02/2017,2017,Wales,72.5,82.56,8,1004,17
Italy,-11,Away,v Ireland,Rome,06/02/2005,2005,Ireland,72.51,82.61,8,1004,17
Ireland,18,Home,v Italy,Croke Park,06/02/2010,2010,Italy,84.6,72.59,0,1020,29
England,13,Home,v Wales,Twickenham,06/02/2010,2010,Wales,80.72,79.89,2,1017,11
Wales,-5,Away,v England,Millennium Stadium,06/02/2015,2015,England,80.7,85.68,3,1019,14
Scotland,-6,Away,v England,Murrayfield,06/02/2016,2016,England,78.01,79.76,4,1017,7
France,2,Home,v Italy,Stade de France,06/02/2016,2016,Italy,79.77,72.79,0,1017,5
Italy,6,Home,v Scotland,Rome,06/03/2004,2004,Scotland,71.88,76.36,8,1004,17
England,-6,Away,v Ireland,Twickenham,06/03/2004,2004,Ireland,93.99,80.53,2,1017,11
Ireland,9,Home,v France,Croke Park,07/02/2009,2009,France,78.51,79.51,0,1020,29
England,25,Home,v Italy,Twickenham,07/02/2009,2009,Italy,80.87,74.56,2,1017,11
Scotland,-9,Away,v France,Murrayfield,07/02/2010,2010,France,76.59,82.41,4,1017,7
Italy,-23,Away,v Ireland,Rome,07/02/2015,2015,Ireland,72.05,82.13,8,1004,17
France,7,Home,v Scotland,Stade de France,07/02/2015,2015,Scotland,80.07,75.16,0,1017,5
Ireland,0,Draw,v Wales,Lansdowne Road,07/02/2016,2016,Wales,81.17,83.49,0,1020,29
Wales,-7,Away,v France,Millennium Stadium,07/03/2004,2004,France,76.92,82.71,3,1019,14
England,3,Home,v Wales,Twickenham,07/03/2020,2020,Wales,88.73,79.77,2,1017,11
Scotland,-13,Away,v Wales,Murrayfield,08/02/2009,2009,Wales,76.75,81.03,4,1017,7
Ireland,23,Home,v Wales,Lansdowne Road,08/02/2014,2014,Wales,79.33,80.19,0,1020,29
Scotland,-20,Away,v England,Murrayfield,08/02/2014,2014,England,76.56,85.7,4,1017,7
Ireland,10,Home,v Wales,Lansdowne Road,08/02/2020,2020,Wales,84.24,79.77,0,1020,29
Scotland,-7,Away,v England,Murrayfield,08/02/2020,2020,England,81.21,88.73,4,1017,7
Ireland,-4,Away,v Wales,Croke Park,08/03/2008,2008,Wales,78.67,74.17,0,1020,29
Scotland,6,Home,v England,Murrayfield,08/03/2008,2008,England,76.7,85.57,4,1017,7
Ireland,39,Home,v Italy,Lansdowne Road,08/03/2014,2014,Italy,79.33,73.13,0,1020,29
Scotland,-2,Away,v France,Murrayfield,08/03/2014,2014,France,76.56,80.87,4,1017,7
Scotland,11,Home,v France,Murrayfield,08/03/2020,2020,France,81.21,85.66,4,1017,7
Wales,15,Home,v Scotland,Millennium Stadium,09/02/2008,2008,Scotland,74.17,76.7,3,1019,14
France,5,Home,v Ireland,Stade de France,09/02/2008,2008,Ireland,80.36,78.67,0,1017,5
Scotland,24,Home,v Italy,Murrayfield,09/02/2013,2013,Italy,75.83,76.24,4,1017,7
France,-10,Away,v Wales,Stade de France,09/02/2013,2013,Wales,85.07,78.39,0,1017,5
France,20,Home,v Italy,Stade de France,09/02/2014,2014,Italy,80.87,73.13,0,1017,5
Scotland,-9,Home,v Ireland,Murrayfield,09/02/2019,2019,Ireland,81.86,91.18,4,1017,7
Italy,-11,Away,v Wales,Rome,09/02/2019,2019,Wales,72.76,87.26,8,1004,17
France,13,Home,v Italy,Stade de France,09/02/2020,2020,Italy,85.66,70.88,0,1017,5
France,12,Home,v Italy,Stade de France,09/03/2008,2008,Italy,80.36,73.29,0,1017,5
Ireland,0,Draw,v France,Lansdowne Road,09/03/2013,2013,France,80.22,85.07,0,1020,29
Scotland,-10,Away,v Wales,Murrayfield,09/03/2013,2013,Wales,75.83,78.39,4,1017,7
England,11,Home,v Wales,Twickenham,09/03/2014,2014,Wales,85.7,80.19,2,1017,11
Scotland,-7,Away,v Wales,Murrayfield,09/03/2019,2019,Wales,81.86,87.26,4,1017,7
England,43,Home,v Italy,Twickenham,09/03/2019,2019,Italy,86.23,72.76,2,1017,11
